portfolio_date,portfolio_pnl,portfolio_loss,position_pnl_sum,nav,funded_market_value,gross_funded_exposure,overlay_notional,rebalanced,holdings_version
2023-05-09,-32288.248752060732,32288.248752060732,-32288.248752060732,9874686.674246078,9874686.674246078,9874686.674246078,749966.7045792842,False,5
2023-05-10,-29397.17987022276,29397.17987022276,-29397.17987022276,9845289.494375857,9845289.494375857,9845289.494375857,749966.7045792842,False,5
2023-05-11,21859.541049222596,-21859.541049222596,21859.541049222596,9867149.03542508,9867149.03542508,9867149.03542508,749966.7045792842,False,5
2023-05-12,8073.970627222407,-8073.970627222407,8073.970627222407,9875223.0060523,9875223.0060523,9875223.0060523,749966.7045792842,False,5
2023-05-15,-47515.453198601645,47515.453198601645,-47515.453198601645,9827707.5528537,9827707.5528537,9827707.5528537,749966.7045792842,False,5
2023-05-16,25621.882117616937,-25621.882117616937,25621.882117616937,9853329.434971316,9853329.434971316,9853329.434971316,749966.7045792842,False,5
2023-05-17,16450.117903987048,-16450.117903987048,16450.117903987048,9869779.552875305,9869779.552875305,9869779.552875305,749966.7045792842,False,5
2023-05-18,22211.105016835656,-22211.105016835656,22211.105016835656,9891990.657892138,9891990.657892138,9891990.657892138,749966.7045792842,False,5
2023-05-19,-9098.558539042082,9098.558539042082,-9098.558539042082,9882892.099353097,9882892.099353097,9882892.099353097,749966.7045792842,False,5
2023-05-22,53270.01522240793,-53270.01522240793,53270.01522240793,9936162.114575505,9936162.114575505,9936162.114575505,749966.7045792842,False,5
2023-05-23,8205.680796821573,-8205.680796821573,8205.680796821573,9944367.795372326,9944367.795372326,9944367.795372326,749966.7045792842,False,5
2023-05-24,10417.976667906058,-10417.976667906058,10417.976667906058,9954785.772040233,9954785.772040233,9954785.772040233,749966.7045792842,False,5
2023-05-25,-1235.3517123323306,1235.3517123323306,-1235.3517123323306,9953550.4203279,9953550.4203279,9953550.4203279,749966.7045792842,False,5
2023-05-26,-43822.59233403258,43822.59233403258,-43822.59233403258,9909727.827993866,9909727.827993866,9909727.827993866,749966.7045792842,False,5
2023-05-29,37959.39468774304,-37959.39468774304,37959.39468774304,9947687.222681612,9947687.222681612,9947687.222681612,749966.7045792842,False,5
2023-05-30,-40457.58163276743,40457.58163276743,-40457.58163276743,9907229.641048843,9907229.641048843,9907229.641048843,749966.7045792842,False,5
