forecast_date,realized_date,expected_next_date,max_input_date,confidence,lookback,holdings_version,model_version,hypothetical_pnl,realized_loss,principal_contributor,model,var,es,exception,breach_magnitude,seed
2024-02-05,2024-02-06,2024-02-06,2024-02-05,0.99,250,14,1.1.0,5785.293330294427,-5785.293330294427,GLD,Parametric Normal,93627.26065613431,107265.43063368679,False,0.0,
2024-02-05,2024-02-06,2024-02-06,2024-02-05,0.99,250,14,1.1.0,5785.293330294427,-5785.293330294427,GLD,Monte Carlo Normal,93717.95956144795,108003.86805172796,False,0.0,283000891.0
2024-02-06,2024-02-07,2024-02-07,2024-02-06,0.99,250,14,1.1.0,23918.86243717497,-23918.86243717497,EURUSD_OVERLAY,Historical,101224.56849021174,115242.02691655916,False,0.0,
2024-02-06,2024-02-07,2024-02-07,2024-02-06,0.99,250,14,1.1.0,23918.86243717497,-23918.86243717497,EURUSD_OVERLAY,Parametric Normal,92682.92785592031,106183.54204945815,False,0.0,
2024-02-06,2024-02-07,2024-02-07,2024-02-06,0.99,250,14,1.1.0,23918.86243717497,-23918.86243717497,EURUSD_OVERLAY,Monte Carlo Normal,93072.50027419832,106738.7382926512,False,0.0,284000894.0
2024-02-07,2024-02-08,2024-02-08,2024-02-07,0.99,250,14,1.1.0,-12690.919086988462,12690.919086988462,SPY,Historical,101628.47584219277,115754.16096725976,False,0.0,
2024-02-07,2024-02-08,2024-02-08,2024-02-07,0.99,250,14,1.1.0,-12690.919086988462,12690.919086988462,SPY,Parametric Normal,93090.12128046254,106650.04910871245,False,0.0,
2024-02-07,2024-02-08,2024-02-08,2024-02-07,0.99,250,14,1.1.0,-12690.919086988462,12690.919086988462,SPY,Monte Carlo Normal,92684.89948154103,107687.09890624184,False,0.0,285000897.0
2024-02-08,2024-02-09,2024-02-09,2024-02-08,0.99,250,14,1.1.0,-109319.71877315314,109319.71877315314,SPY,Historical,101001.36758778254,114518.77129917732,True,8318.3511853706,
2024-02-08,2024-02-09,2024-02-09,2024-02-08,0.99,250,14,1.1.0,-109319.71877315314,109319.71877315314,SPY,Parametric Normal,92566.43769904466,106050.08340980252,True,16753.281074108483,
2024-02-08,2024-02-09,2024-02-09,2024-02-08,0.99,250,14,1.1.0,-109319.71877315314,109319.71877315314,SPY,Monte Carlo Normal,93995.12735783427,108919.93920538621,True,15324.591415318879,286000900.0
2024-02-09,2024-02-12,2024-02-12,2024-02-09,0.99,250,14,1.1.0,15319.579465528348,-15319.579465528348,USO,Historical,107135.96737399967,113304.03514674219,False,0.0,
2024-02-09,2024-02-12,2024-02-12,2024-02-09,0.99,250,14,1.1.0,15319.579465528348,-15319.579465528348,USO,Parametric Normal,92088.32160807784,105502.32276796544,False,0.0,
2024-02-09,2024-02-12,2024-02-12,2024-02-09,0.99,250,14,1.1.0,15319.579465528348,-15319.579465528348,USO,Monte Carlo Normal,92918.17822803534,105615.36296625317,False,0.0,287000903.0
2024-02-12,2024-02-13,2024-02-13,2024-02-12,0.99,250,14,1.1.0,-32760.515156717378,32760.515156717378,SPY,Historical,107480.62448333445,113857.61587156405,False,0.0,
2024-02-12,2024-02-13,2024-02-13,2024-02-12,0.99,250,14,1.1.0,-32760.515156717378,32760.515156717378,SPY,Parametric Normal,92433.26669460496,105897.51411493005,False,0.0,
2024-02-12,2024-02-13,2024-02-13,2024-02-12,0.99,250,14,1.1.0,-32760.515156717378,32760.515156717378,SPY,Monte Carlo Normal,92989.63149671523,105130.94544634194,False,0.0,288000906.0
2024-02-13,2024-02-14,2024-02-14,2024-02-13,0.99,250,14,1.1.0,-23751.576791661642,23751.576791661642,SPY,Historical,106830.16379938314,112841.53162301422,False,0.0,
2024-02-13,2024-02-14,2024-02-14,2024-02-13,0.99,250,14,1.1.0,-23751.576791661642,23751.576791661642,SPY,Parametric Normal,91328.74877386489,104632.10712149106,False,0.0,
2024-02-13,2024-02-14,2024-02-14,2024-02-13,0.99,250,14,1.1.0,-23751.576791661642,23751.576791661642,SPY,Monte Carlo Normal,88497.16709230271,101331.81622368432,False,0.0,289000909.0
2024-02-14,2024-02-15,2024-02-15,2024-02-14,0.99,250,14,1.1.0,6073.185778364219,-6073.185778364219,EFA,Historical,106382.93886294225,112165.70824131886,False,0.0,
2024-02-14,2024-02-15,2024-02-15,2024-02-14,0.99,250,14,1.1.0,6073.185778364219,-6073.185778364219,EFA,Parametric Normal,90884.97464702373,104123.69084949812,False,0.0,
2024-02-14,2024-02-15,2024-02-15,2024-02-14,0.99,250,14,1.1.0,6073.185778364219,-6073.185778364219,EFA,Monte Carlo Normal,90757.6842005387,104310.3283840585,False,0.0,290000912.0
2024-02-15,2024-02-16,2024-02-16,2024-02-15,0.99,250,14,1.1.0,-17182.471170567118,17182.471170567118,EEM,Historical,106245.9069490817,111765.27869103149,False,0.0,
2024-02-15,2024-02-16,2024-02-16,2024-02-15,0.99,250,14,1.1.0,-17182.471170567118,17182.471170567118,EEM,Parametric Normal,90697.89503615635,103909.36037692161,False,0.0,
2024-02-15,2024-02-16,2024-02-16,2024-02-15,0.99,250,14,1.1.0,-17182.471170567118,17182.471170567118,EEM,Monte Carlo Normal,88275.02623203449,100535.94664883202,False,0.0,291000915.0
2024-02-16,2024-02-19,2024-02-19,2024-02-16,0.99,250,14,1.1.0,-14813.3173533161,14813.3173533161,EFA,Historical,105649.40545853577,110662.13068513022,False,0.0,
